State,District,Latitude,Longitude,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,ST,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Literacy,Male_Literacy,Female_Literacy,Sex_Ratio,Employed,Unemployed
Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,1870374,926345,944029,1548738,780541,768197,74249,7282,465692,15673,52943,83.0,84.0,81.0,102.0,36.0,64.0
Tamil Nadu,Karur,10.79532776617955,78.08749686847604,1064493,528184,536309,727044,401726,325318,221385,575,264949,4915,17995,68.0,76.0,61.0,102.0,51.0,49.0
Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,3038252,1526475,1511777,2273430,1223810,1049620,408976,11096,754141,34097,95311,75.0,80.0,69.0,99.0,45.0,55.0
Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,1616450,798127,818323,1213008,640916,572092,509767,3756,381940,5585,19692,75.0,80.0,70.0,103.0,42.0,58.0
Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,1726601,869280,857321,1176131,653312,522819,345392,57059,441044,8960,31581,68.0,75.0,61.0,99.0,52.0,48.0
Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,565223,282157,283066,375823,208011,167812,175289,2584,135751,1507,7745,66.0,74.0,59.0,100.0,53.0,47.0
Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,1618345,803188,815157,1110545,608776,501769,284804,1283,354493,4494,18272,69.0,76.0,62.0,101.0,47.0,53.0
Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,1353445,682658,670787,978946,536487,442459,249008,1105,291400,5172,22379,72.0,79.0,66.0,98.0,45.0,55.0
Tamil Nadu,Salem,11.629324202127655,78.2478257978723,3482056,1781571,1700485,2285562,1285107,1000455,580512,119369,835377,20660,63867,66.0,72.0,59.0,95.0,49.0,51.0
Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,1339101,668672,670429,959744,526304,433440,227746,790,314270,5773,24456,72.0,79.0,65.0,100.0,46.0,54.0
Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,2405890,1182416,1223474,1790998,944264,846734,455062,3561,555582,13495,42912,74.0,80.0,69.0,103.0,40.0,60.0
Tamil Nadu,Theni,9.924066666666668,77.43458833333332,1245899,625683,620216,870080,479403,390677,258200,1835,312310,4667,18830,70.0,77.0,63.0,99.0,47.0,53.0
Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,3728104,1876062,1852042,2791721,1495711,1296010,821646,47243,909400,75634,174279,75.0,80.0,70.0,99.0,41.0,59.0
Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,1264277,626693,637584,946471,503085,443386,430927,3034,303114,4416,15535,75.0,80.0,70.0,102.0,43.0,57.0
Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,2464875,1235889,1228986,1626813,909803,717010,565329,90954,549077,6445,27529,66.0,74.0,58.0,99.0,50.0,50.0
Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,3936331,1961688,1974643,2773928,1504355,1269573,860212,72955,865913,20623,69912,70.0,77.0,64.0,101.0,43.0,57.0
Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,1942288,967709,974579,1398788,760375,638413,399831,2294,505950,10219,37357,72.0,79.0,66.0,101.0,49.0,51.0
Tripura,Dhalai,23.781360477941163,91.94654283088232,378230,194544,183686,276217,151643,124574,61688,210608,46875,273,5067,73.0,78.0,68.0,94.0,41.0,59.0
Tripura,North Tripura,24.121739755351683,92.17842538226292,693947,352860,341087,520402,275646,244756,114968,179426,81601,997,10310,75.0,78.0,72.0,97.0,36.0,64.0
Tripura,South Tripura,23.211874098057383,91.6065807585568,876001,447544,428457,646810,351082,295728,140168,344835,133744,948,10393,74.0,78.0,69.0,96.0,42.0,58.0
Tripura,West Tripura,23.780166241299337,91.41310788863107,1725739,879428,846311,1361354,722998,638356,338094,431944,314567,6394,36186,79.0,82.0,75.0,96.0,40.0,60.0
Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,4418797,2364953,2053844,2680510,1614594,1065916,991325,7255,536402,27183,82012,61.0,68.0,52.0,87.0,31.0,69.0
Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,3673889,1951996,1721893,2092567,1283380,809187,755254,629,268120,13634,58336,57.0,66.0,47.0,88.0,32.0,68.0
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,5954391,3131807,2822584,3665727,2199340,1466387,1309851,7955,391542,24122,85491,62.0,70.0,52.0,90.0,35.0,65.0
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,2397888,1212410,1185478,1486939,846676,640263,591125,746,99581,2509,27308,62.0,70.0,54.0,98.0,33.0,67.0
Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,1379545,740040,639505,930836,546198,384638,391622,150,65479,2404,14279,67.0,74.0,60.0,86.0,32.0,68.0
Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,4613913,2285004,2328909,2771917,1559414,1212503,1171378,9327,183381,6652,47324,60.0,68.0,52.0,102.0,30.0,70.0
Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,1303048,700070,602978,797970,489858,308112,149060,14,119121,2989,19999,61.0,70.0,51.0,86.0,32.0,68.0
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,3487731,1843884,1643847,1398368,878285,520083,509307,11159,85814,2681,35463,40.0,48.0,32.0,89.0,33.0,67.0
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,3239774,1672902,1566872,1963590,1160960,802630,494698,110114,119972,4672,42969,61.0,69.0,51.0,94.0,31.0,69.0
